角色,环节,#,问题,追问链,映射哨兵,验证假设
运营,,9,老板突然问上月客户增长——多久能回答？,追问A：要开几个系统？问几个人？追问B：数据与销售对得上吗？,"T3,O7",H4: 一致性和时效
运营,AI,10,你用过什么AI工具吗？比如AI写文案、AI做图、AI分析数据？,追问A：用在哪？效果好吗？追问B：你觉得AI能帮你做运营吗——比如自动生成内容、分析客户数据、管理社群？追问C：如果可以，你最想AI帮你做什么？,"T7(Agent成熟度), T5(AI就绪)",H4: 运营AI接受度
客服,客诉分析,1,客诉最多的三类问题——过去半年排前三。,追问A：和一年前比有变化吗？追问B：哪些你觉得可以根本解决？,"O8(修复), T5(流程)",H4: 质量瓶颈
客服,,2,有没有反馈了很多次但到现在都没人处理的问题？,追问：反馈了多少次？反馈给谁？,"O8(双环学习), O9(权力)",H4: 学习能力
客服,,3,取模环节相关客诉——占比多少？,追问A：态度？技术？时间不准？追问B：销售知道吗？,"O7(失真), T5",H4: 数据回传
客服,,4,客户收到产品后——最多评价是什么？,追问A：惊喜？还行？失望？追问B：有人说在别处看到更好吗？,"I4(品牌溢价), E3(竞争)",H3: 产品位置
客服,,5,客户问过能不能也做XX吗——满月照/胎毛笔/成长相册？,追问A：问得最多是什么？追问B：反馈给老板了吗？他怎么说的？,"E4(需求), O1",H5: 需求信号
客服,,6,客户说销售承诺了XX但实际不是——多吗？,追问A：多到什么程度？追问B：什么承诺？谁在承诺？,"S1(错配), O7",H4: 前后端断裂
客服,,7,处理同类型客诉——有标准流程吗？还是凭经验？,追问A：新员工怎么学？追问B：有文档记录吗？,"O4(知识), O5(扩散)",H4: 组织记忆
客服,AI,8,你用过什么AI工具吗？比如AI客服、智能回复？,追问A：试过吗？追问B：你觉得AI能帮你回复客户吗？追问C：如果可以，你最希望AI帮你做什么——自动分类客诉？生成回复？分析客户情绪？,"T7(Agent成熟度), T5(AI就绪)",H4: 客服AI接受度
生产(电话),品控产能,1,收到模型到发货——平均几天？各环节各占多少？,追问A：哪个最慢？为什么？追问B：必须是人工吗？能标准加速吗？,"T5(AI就绪), O6(信道)",H3: 瓶颈定位
生产(电话),,2,模型运输损坏比例多少？,追问A：完全不能用还是可修复？追问B：这数据广东知道吗？,"O8(品控), O7(失真)",H3/H4: 品控透明
生产(电话),,3,28人——订单翻倍，多久提产能？,追问A：瓶颈是人手？设备？场地？追问B：新人培训多久？,"I3(规模经济), O4",H3: 产能弹性
生产(电话),,4,用什么管订单——纸质工单？电脑？微信群？,追问A：一个订单几道手？追问B：搞错过订单吗？,"T1(软件), T3(孤岛)",H4: 生产信息化
生产(电话),,5,广东传的信息和实际收到——对不上过吗？,追问A：频率？追问B：出错最多是什么信息？,O7(失真),H4: 两地一致性
生产(电话),,6,客户为什么选你们不是更大工厂？,追问A：质量？交期？价格？追问B：这个优势是有意建立还是自然形成？,"I3(流程), I4(品牌)",H3: 产品壁垒
生产(电话),,7,试过改进生产流程吗——自动化/标准化某个步骤？,追问A：试过什么？成功了吗？追问B：没试过——没想到还是没精力？,"O2(变异), O1(探索)",H3: 创新意愿
生产(电话),AI,8,你听说过AI能帮工厂做什么吗？比如自动排产、质检、订单管理？,追问A：有用过任何自动化工具吗——哪怕是个排产的Excel模板？追问B：如果有个系统能把广东订单自动同步过来、自动排产——你觉得有用吗？追问C：你觉得你们工厂最该自动化的是什么？,"T7(Agent成熟度), T5(AI就绪)",H3/H4: 生产端AI认知
财务,单位经济,1,广东和南宁各自毛利率大概多少？,追问A：分别多少？追问B：和两年前比——涨还是跌？,"F3(配置), F4(增长质量)",H6: 两实体效率
财务,,2,免费品成本谁承担——广东还是南宁？,追问A：一个免费品物料+取模费用？追问B：算入获客——付费客户真实成本？,"I10(单位经济), F3",H3: 真实获客成本
财务,,3,过去三年营收涨还是跌？每年幅度？,追问A：增速加快还是放缓？追问B：扣掉通胀和调价——实际增长？,"E5(环境), F4(质量)",H1: 真实vs水涨
财务,,4,付费客户平均客单价多少？三年趋势？,追问A：涨还是跌？追问B：主动还是被动？客户反应？,"I6(价值捕获), I10",H3: 定价权
财务,,5,取模人员薪酬——固定还是提成？,追问A：提成比例？追问B：月入和工作量成正比吗？,"O3(激励), F3(成本)",H3/H4: 激励对齐
财务,现金流,6,应收账款——月子中心有账期吗？平均回款周期？,追问A：最长一笔拖多久？追问B：有坏账吗？,"F1(约束), F5(周转)",H3: 现金流
财务,,7,营销费用占总营收比例？主要花在哪？,追问A：返佣？投放？电商？追问B：觉得花得值吗？,"F3(配置), I10",H3: 营销ROI
财务,,8,公司盈利吗？净利润率大概多少？,追问A：算老板工资呢？追问B：三年利润率趋势？,"F4(增长质量), I6(捕获)",H3/H6: 真实盈利
财务,AI,9,你用过什么AI工具吗？财务方面的——比如智能记账、发票识别、AI做报表？,追问A：试过吗？追问B：你觉得AI能帮你做财务吗——比如自动对账、生成分析报告？追问C：如果可以，你最希望AI帮你做什么？,"T7(Agent成熟度), T5(AI就绪)",H4: 财务AI接受度
财务,,10,有没有投了钱但没收回来项目——新产品/新渠道/广告？,追问A：大概多少？追问B：怎么决定投的？复盘了吗？,"F3(配置), O8(学习)",H7: 投资决策
技术专家,软件生态,T1,企业用了哪些软件系统？接单到交付到财务——各用什么？,追问：列清单。哪些付费SaaS？免费？自研？,T1(软件资产),H4: 软件全景
技术专家,,T2,这些系统之间数据通吗——哪些需手动导Excel？,追问：具体哪两个？频率？谁导？,"T3(数据孤岛), T4(连接器)",H4: 流通障碍
技术专家,,T3,我要过去12个月每月新增客户和营收——哪个系统能出？,追问：跨几个系统？自动报表还是手工拉？,"T2(API可达), T3(健康)",H4: 决策数据
技术专家,数据基础,T4,20万客户数据——存储在哪儿？云端还是本地？,追问：有备份吗？做过清洗吗——去重、去无效？,"T3(健康), T1",H5: 数据资产质量
技术专家,,T5,客户数据有没有分层分群——高价值/活跃/沉睡？,追问：谁在做分析？用什么工具？,"T5(AI就绪), T7(成熟度)",H5: 数据利用深度
技术专家,,T6,有没有数据丢失或损坏的情况？,追问：多严重？怎么恢复的？有备份机制吗？,"T3(安全), O8(修复)",H4: 安全基线
技术专家,AI就绪,T7,汇总判断：各角色对AI的接受度和使用现状——整体处于什么阶段？,追问：用过的人多吗？是个人行为还是公司推动？试过但放弃的有没有——为什么？,"T7(Agent成熟度), T5(AI就绪)",H4: 全公司AI基线
技术专家,,T8,如果要做一个客户小程序——订单进度+宝宝照片——谁来做？,追问：有外部技术供应商吗？成本和周期？,"I12(自制外购), T5",H5: 技术意愿
技术专家,,T9,取模人员去月子中心——想过用手机APP记录时间、拍照、签字吗？,追问：技术上能做吗？为什么没做——成本？没人？,"T5,O1,O7",H4: 一线数字化
技术专家,,T10,给你10万预算做技术升级——花在哪？,追问：最大痛点是什么？为什么第一优先级？,"F3(配置), T5",H4: 痛点优先级
老板(回响),,1,今天和团队聊了一天——最让你意外的是什么？,追问：为什么会意外？之前以为是什么？,,H4/H7: 信息断层
老板(回响),,2,如果Synova能帮你做一件事——你希望是什么？,追问：第一反应，不要多想。,,H7: 第一优先级
老板(回响),,3,出生率继续下降——只靠现有生意能撑多久？,追问：如果必须找第二增长曲线——最可能选什么方向？,"I9(穿透力), E1",H1/H2: 未来判断
老板(回响),,4,愿意让Synova接入你们的数据吗——财务、客户、订单。,追问：最担心什么？数据安全？不知道怎么接入？,T2/T3,H4: 开放意愿
