"ID","不变量","位置(file:line)","冲突两方证据(A / B / C)","严重度","I1-I6违例","建议裁定","修复工单草案","R1-R5根因","机制归属(Anti-bloat)","状态"
"P1-03","I1","scripts/check-doc-truth.sh L42-L54/L60-L77","A: DRIFT-LEDGER L11『硬检查 4 项：C1 专家数 / C2 门禁组数 / C3 版本一致 / C4 路径存在』 / B: 实测脚本执行 7 项硬检查（C1×3 文件 + C2×3 文件 + C3 + C4×7 路径）→ 6 项硬失败, exit=1","P1","I1","台账口径比脚本实际行为少 3 项 C2 检查；『首跑检出 5 处漂移』的计数口径同样已过期","工单：DRIFT-LEDGER 状态节改为机器生成（直接贴 check-doc-truth.sh 输出），禁止手写计数","R2","M2（扩域：治理文档声称）","待修复"
"P1-04","I5","docs/authority/DRIFT-LEDGER.md L24-L26  vs  实测输出","A: 『## 待修复 🔴（已全部清零 ✅）~~无~~ —— 真相验证 2026-08-20 起全绿（exit 0）』 / B: 2026-09-14 实测 exit=1，6 项硬失败","P1","I5","台账声称全绿但物理红灯；时间线已核实——expert-registry.yaml 于 2026-09-09 升 v3.0（6 条），文档侧仍写 7/8，防线自此转红且从未重跑","工单：DRIFT-LEDGER 加『最后验证时间 + 由谁运行 + 原始输出摘要』三字段；全绿声明必须附可复现命令与时间戳","R3","M2（扩域）+ M9（红龄看板）","待修复"
"P1-05","I5","AUTHORITY-UPGRADE-NOTICE-20260906.md L50-L56（被覆盖表）vs 实际标注","A: 被覆盖表列 3 项（ARCHITECTURE.md §4 / 审计报告 §六 / 权威文档13） / B: grep -rln '口径已更新' 仅命中 2 个文件（权威文档13 研究方案、审计报告）——权威文档16-权限与知识治理体系 未被标注，权威文档15 未被标注；ARCHITECTURE.md 由 PR#444 单独改（未用同一标注格式）","P1","I5","覆盖关系登记在『通知』里但未落到被覆盖文件；且覆盖标注格式未统一（2 处用 ⚠️ 口径已更新 blockquote，1 处直接改正文）","工单：为 18 份权威文档建立『覆盖登记块』统一模板（被覆盖为：X；覆盖为：Y；日期），由门禁校验每个被覆盖文件含该块","R4","I7（提案）覆盖图一致","待修复"
"P1-06","I5","docs/authority/DOCS-REGISTRY.yaml L142-L147（DOC-0104）","A: registry 以目录粒度登记 docs/synova/research/ 为单条 DOC-0104『权威文档 01-18 系列 + A/B/C 线审计 + 研究』 / B: grep 权威文档01..18 → 18 份目录在 registry 中命中数均为 0；升级说明 AUTHORITY-UPGRADE-NOTICE-20260906.md 亦未登记（grep → NOT REGISTERED）","P1","I5","『权威关系的唯一入口』文件不在台账；131 个权威文档文件全部靠一条目录级条目兜底","工单：DOC-0104 拆分为 18+2+1 条（每份权威目录一条 + 升级说明一条 + 权威关系一条），owner 明确到人","R4","新机制7 权威文档结构校验","待修复"
"P1-07","I4","expert/expert-registry.yaml（v3.0）vs AGENTS.md/CLAUDE.md/knowledge/shared/README.md","A: registry v3.0 = 6 条（host + 5 问题域）；docs/authority/ARCHITECTURE.md L36『五个问题域：资金效率/客户增长/组织能力/技术底座/竞争战略』已对齐 / B: AGENTS.md『7位专家(host/capital-cycle/customer-cycle/talent-cycle/tech/finance-structure/competitive-strategy)』、CLAUDE.md 同、knowledge/shared/README.md『所有8位专家』","P1","I3,I4","三份导航层文档同时落后两个版本（v2.0=7 → v3.0=6）；即 check-doc-truth.sh C1 的 3 项硬失败","工单：三处同步为 registry 派生值；并把『N位专家』改为读 registry 的生成式引用（禁止手写数字）","R3","M2（扩域：导航层声称）","待修复"
"P1-08","I6","CLAUDE.md 头部 + Loop Engineering 章节 vs LOOP.md vs scripts/pre-commit-check.sh","A: CLAUDE.md『pre-commit 8 组硬阻断』、LOOP.md『8 组硬阻断 ×2』 / B: pre-commit-check.sh 实有 13 组 echo（组号 1-10,12,13），末行『全部 13 组通过』","P1","I3","即 check-doc-truth.sh C2 的 2 项硬失败 + C3 版本不一致（AGENTS=V5.2.7 CLAUDE=V5.2.7 LOOP=V4.4.5）","工单：CLAUDE.md/LOOP.md 组数改 13、LOOP.md 版本号对齐；长期改为从 pre-commit-check.sh 派生","R2","M2（扩域）","待修复"
"P1-09","I6","scripts/pre-commit-check.sh L6  vs  L23/L443/L1430","A: L6『Loop Engineering V4.5.1 — pre-commit 12 组硬阻断 (全部 <10s)』 / B: L23『13 组:』、L443『pre-commit (13 组 + 免疫 + plan-integrity)』、L1430『✅ 全部 13 组通过』；实际 echo 序列为 组 1/13…组 10/13 → 组 12/13 → 组 13/13（无组 11；L624 注释『组 4: 接线完整性 (原 5, 11 合并)』）","P1","I6","脚本自述内部漂移（12 vs 13）；且组号不连续（1-10,12,13）","工单：L6 改 13；组号重排为连续 1-12 或显式标注『组号沿用历史，11 已并入 4』","R2","M2（扩域：脚本自述）","待修复"
"P1-10","I4","D1 附录-证据清单-20260905.md C-02/C-08/C-13/C-15  vs  仓库实测","A: C-02 expert/capital-cycle/manifest.json；C-08 src/cycles/cash-cycle.cycle.json；C-13 src/routes/diagnosis-upload-v2.ts:311；C-15 src/routes/diagnosis-upload-v2.ts:312 / B: 前两者路径不存在（已 git mv 至 expert/_deprecated/、cycles/builtin/）；后两者指向的文件在 02cbafae 为 0 字节（b54a0fb6 删除 981 行），无第 311/312 行","P1","I4","『带 file:line 的权威证据清单』4 条已失效；根因是证据行无失效日期/re-verify 机制","工单：证据清单每条加『最后核实 commit + 状态(有效/失效/已迁移)』两列；失效条目保留但标记迁移去向（C-13→orchestrator/subagent-coordinator.ts:91-92）","R3","M7（扩域：证据失效期）","待修复"
"P1-11","I4","D2 附录-证据清单-20260906.md G-01  vs  src/growth/goal-types.ts:103","A: 附录 G-01『决策驱动来源（DecisionRecord）… 现状证据 goal-types.ts source 仅有 diagnosisId；无 decisionRecordId』三态 ❌ / B: goal-types.ts:103 已有 decisionRecordId?: string；goal-store.ts:115-119 已接线","P1","I4","同一份权威文档的附录自相矛盾（第二章 §2.2 说『新增』，附录说 ❌）；附录写于 2026-09-06，D701（09-10）已落地但附录未回填","工单：附录重跑并加时间戳；把『三态』改为带日期的快照语义","R3","M7（扩域：附录回填）","待修复"
"P1-12","I2","AD12 第一章 L101 『总计43个Skill』 vs 同章 L973『本章33个Skill』 vs AD12 研究方案 L30/L242『41个Skill』 vs L203『现有38个Skill』 vs AD12 第四章 L8『35个Skill』","五处并存 33/35/38/41/43 / 实测 extensions/skills/builtin = 41 个目录","P1","I3","同一份权威文档内『现有 Skill 数』五值并存；『本章 NN 个』与『现有 NN 个』两种语义混用无标注","工单：区分『本章产出 N 个』与『现有 M 个』两种计数并逐条标注语义；现有数改由 find 生成","R2","新机制7 权威文档结构校验","待修复"
"P1-13","I4","AD03 第一章（哨兵规范）JTBD 表 38 条  vs  extensions/sentinels/ 45 个真实哨兵","A: 文档列 38 个哨兵名（含 status 字段，全部 ACTIVE） / B: 代码 45 个；代码有文档无 7 个：capital-health、competitive-moat、competitive-position、margin-health、path-dependency、sentinel-forecast-accuracy、sentinel-pricing-strategy","P1","I3","『哨兵权威规范』漏列 7 个在产哨兵；另有 2 个哨兵命名带 sentinel- 前缀（sentinel-forecast-accuracy/sentinel-pricing-strategy）与其余 43 个命名约定不一致","工单：AD03 第一章 JTBD 表补 7 行并统一命名约定；表改为由 extensions/sentinels/manifest 生成","R2+R5","新机制7 权威文档结构校验","待修复"
"P2-01","I6","权威文档15 第五章 L20/L359、第一章 L1032","A: 正文两处『系统预置（15-20个行业模板）』 / B: 同文件版本历史『18个行业模板』","P2","I6","同文档内区间值与确切值并存","工单：统一为确切值并说明区间含义（目标区间 vs 当前实数）","R2","新机制7 权威文档结构校验","待修复"
"P2-02","I6","权威文档17-Synova自诊断系统-v1.0-20260729.md L59『当前48条铁律』 vs 权威文档06 第七章 L200『AGENTS.md 中 38 条铁律』 vs AGENTS.md 实测 22 个去重编号","三值 48/38/22 并存","P2","I3","铁律编号无唯一权威来源（AGENTS.md 是唯一近似源但编号不连续）;『48条』『38条』均属声称无据","工单：建铁律清单权威文件（编号+标题+执法点），文档引用改为查表或引用该文件","R1+R2","CT-38（扩域）","待修复"
"P2-03","I5","docs/authority/DOCS-REGISTRY.yaml L5-L8（schema 头注释）vs 全文件实际字段","A: 头注释声明字段 verified-by（『负责验证本文件声明的脚本（planned = 待实施）』） / B: 实际 3 处 verified-by 全标 (planned)——check-chronicle-facts.sh / check-doc-truth.sh / generate-status.sh；其中 check-doc-truth.sh 已存在且可执行（非 planned）","P2","I5","提议方被该字段误导（转述『check-doc-truth.sh 仍是 planned』→ 实际脚本早已存在）——这正是 T5 第二条的物理根因","工单：清除已实施的 (planned) 后缀；把 verified-by 改为门禁可校验字段（脚本存在性 + 可执行性）","R5","新机制7 权威文档结构校验（D2 增 verified-by 断言）","待修复"
"P2-04","I4","scripts/doc-system/check-doc-truth.sh 权限位与编码","A: ls -l → -rw-r--r--（无执行位），head -c3 → ef bb bf（UTF-8 BOM） / B: 以 ./check-doc-truth.sh 调用 → Permission denied (126)；bash check-doc-truth.sh → stderr『#!/bin/bash: No such file or directory』","P2","I4","两个独立缺陷：BOM 使 shebang 失效；权限位使直调失败。同状态脚本共 6 个（scripts/doc-system/*.sh 全部 -rw-r--r-- 且带 BOM）","工单：去除 6 个 doc-system 脚本的 BOM + 补可执行位；tests/control-tower/grep-oP-regression.test.sh L200-L214 已有 ratchet 待清清单，按域派工","R3","既有 BOM ratchet（扩一行 x 位检查）","待修复"
"P2-05","I5","scripts/install-hooks.sh L47-L53  vs  .git/hooks/pre-commit L9","A: install-hooks.sh 生成的 hook 写 .claude/gate-soft-warnings.log（L53，注释引 D508/Win#10『软门禁噪声移出 bypass.log』） / B: 已部署的 .git/hooks/pre-commit L9 写 .claude/bypass.log（GATE_FAIL_SOFT 61 条已进 bypass.log；gate-soft-warnings.log 不存在）","P2","I5","『D508 已修』未落到已安装 hook（installer 与已部署产物漂移）；本地钩子非 git 跟踪（git ls-files .git/hooks/pre-commit = 0），无法用 git diff 发现","工单：重跑 install-hooks.sh 或加 hook 内容对账门禁（installer 生成体 vs 已部署体 diff）","R3","M3（扩域：installer↔产物对账）","待修复"
"P2-06","I1","docs/authority/DOCUMENT-INVENTORY.md L765-L774  vs  权威文档16 目录","A: INVENTORY 把权限与知识治理的 10 个文件编入 权威文档16 / B: 同一编号在 AUTHORITY-UPGRADE-NOTICE 中指另一份报告","P2","I2","与 P0-07 同源；INVENTORY 侧的登记是正确的一侧","工单：同 P0-07（改升级说明一侧）","R4","I7（提案）覆盖图一致","待修复"
"P2-07","I4","扩展层边类型数 vs AD01 42 条边","A: extensions/ontology/edge-types/*.json = 55 个；packages/ontology/src/edge-types.ts L6 自述『55 JSON 文件 - 4 renamed = 51 EdgeType 条目』 / B: extensions/ontology/edge-consumption-map.json L3 自述『42条池-阀因果边』","P2","I3","三套计数 55/51/42 并存且无映射表；42 条池-阀边与 51 个 EdgeType 的对应关系无机器可读来源","工单：建 42→51 映射表并入库；两边计数改由该表派生","R5","新机制7 权威文档结构校验","待修复"
"P2-08","I4","认知文档02 第四章 L135/L222、研究方案-v3 L10/L12 等 5 处『8位专家』/『8专家』/『8 位专家』","A: 权威文档02（方向有效性监测引擎）称『调用8位专家、遍历42条边』 / B: registry v3.0 = 6 条","P2","I3","权威文档02 依赖链上游是 8 专家时代；已被 20260906 升级覆盖但无标注（同 P0-06/P1-05 根因）","工单：随 P1-05 统一加覆盖标注；专家数改引用 registry","R4","I7（提案）覆盖图一致","待修复"
"P2-09","I5","未在任何地方登记的『依恋/悬浮』引用：docs/synova/research/权威文档15 附录A 42边速查表（task-brief D663 L203、dev doc D700 L63 均以它为一等证据）","A: 权威文档15 第一章 L1210『附录A：42边ID速查（五阀常用边）』 / B: 该附录在权威关系链中无位置——AD15 既未被升级说明声明覆盖也未声明保留","P2","I5","AD15 的实际使用强度（被 D663/D700 当作 42 边 ID 口径权威）远超其登记状态（无覆盖标注、无 registry 条目）","工单：随 P0-06 一并裁定 AD15 归属；补 registry 条目","R4","I7（提案）覆盖图一致","待裁定"
"P0-09","I1/I2","tests/fixtures/golden-cases/golden-case-06-efficiency-attraction-failure.json  vs  extensions/ontology/edge-types/{efficiency_attraction,reputation_attraction}.json  vs  AD01 第四章 L196","A: E-11 → EFFICIENCY_ATTRACTION（夹具 rootCauseEdgeIds=[""E-11""] + rootCauseNodeTypes=[""EFFICIENCY_ATTRACTION""] + explanation 明写；同文件 financing-constraint/talent-density 亦 matchedEdgeIds=[""E-11""]） / B: E-11 → REPUTATION_ATTRACTION（AD01 第四章 L196 + AD15 附录A） / C: 类型层是两条不同的边（efficiency_attraction.json: pool/activity→pool/capital；reputation_attraction.json: pool/reputation→pool/capital+human_capital，两个不同 $id）","P0","I1/I2","golden-case 是回归基准（pre-push F1 硬阻断项），夹具本身携带语义错位的边 ID 而门禁只校验 E-\d{2} 格式+范围 → 恒绿。本报告不判断夹具错还是文档错","工单：随 §10.1 registry 落地后，由生成器校验『夹具 matchedEdgeIds 的边 ID → 边类型名』一致；本卡不得单独修夹具（须与 P0-01 同一裁定）","R5","CT-38（扩域）","待裁定"
