kind,id,doc,file,occurrences,first_line,sample_lines
computeKebab,compute-revenue-growth,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,83,"83"
computeKebab,compute-hhi,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,84,"84"
computeCamel,computeOverflow,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,93,"93"
Dnum,D282,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",8,25,"25,30,40,42,44,88"
Dnum,D491,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第二章-证据全景与三态审计-20260905.md",1,62,"62"
E,E-13,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,189,"189"
E,E-23,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,189,"189"
E,E-34,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,189,"189"
computeKebab,compute-map,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,186,"186"
computeKebab,compute-cash-runway-months,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,188,"188"
computeKebab,compute-gross-margin,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,188,"188"
computeKebab,compute-receivable-overdue-rate,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,188,"188"
computeKebab,compute-cost-per-head,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,188,"188"
computeKebab,compute-break-even,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/第六章-专家架构权威定义与路线图-20260905.md",1,192,"192"
computeKebab,compute-break-even,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/附录-证据清单-20260905.md",2,12,"12,20"
computeKebab,compute-capital-acquisition,D1-专家架构,"docs/synova/research/专家架构重定义与权威口径审计-20260905/附录-证据清单-20260905.md",1,19,"19"
sentinelKebab,sentinel-lifecycle,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/第一章-导航现状审计-20260906.md",1,27,"27"
Dnum,D254,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/第一章-导航现状审计-20260906.md",1,31,"31"
Dnum,D273,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/第一章-导航现状审计-20260906.md",1,58,"58"
Dnum,D254,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/第五章-验证与回流-20260906.md",2,4,"4,10"
Dnum,D272,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/第四章-执行跟踪与纠偏-20260906.md",1,41,"41"
Dnum,D285,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/第四章-执行跟踪与纠偏-20260906.md",1,41,"41"
sentinelKebab,sentinel-lifecycle,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,13,"13"
node,N-01,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,11,"11"
node,N-02,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,12,"12"
node,N-03,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,13,"13"
node,N-04,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,14,"14"
node,N-05,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,15,"15"
node,N-06,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,16,"16"
node,N-07,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,17,"17"
node,N-08,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,18,"18"
node,N-09,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,19,"19"
Dnum,D254,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,17,"17"
Dnum,D273,D2-导航,"docs/synova/research/增长导航目标管理闭环-20260906/附录-证据清单-20260906.md",1,18,"18"
E,E-06,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,63,"63"
E,E-08,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,95,"95"
E,E-10,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,131,"131"
E,E-11,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,147,"147"
E,E-12,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,163,"163"
E,E-13,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,179,"179"
E,E-14,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,195,"195"
E,E-24,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",2,215,"215,279"
E,E-25,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",2,231,"231,311"
E,E-31,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,231,"231"
E,E-26,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,247,"247"
E,E-27,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,295,"295"
E,E-28,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,347,"347"
E,E-29,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,363,"363"
E,E-30,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,379,"379"
E,E-33,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,411,"411"
E,E-34,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,443,"443"
E,E-35,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,463,"463"
E,E-36,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,479,"479"
E,E-37,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,495,"495"
E,E-40,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",3,545,"545,657,722"
E,E-41,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",1,561,"561"
E,E-42,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-前置研究-哇呢宝贝零基验证-v1-0-20260714.md",2,593,"593,722"
E,E-05,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,108,"108"
E,E-09,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,108,"108"
E,E-10,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,109,"109"
E,E-23,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,109,"109"
E,E-24,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,110,"110"
E,E-34,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,110,"110"
E,E-35,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,111,"111"
E,E-39,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,111,"111"
E,E-40,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,112,"112"
E,E-42,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-研究方案-v3-0-20260714.md",1,112,"112"
E,E-13,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",7,76,"76,121,202,516,540,609"
E,E-30,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",8,76,"76,393,542,611,612,622"
E,E-37,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",7,76,"76,474,543,612,613,624"
E,E-05,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",6,113,"113,177,539,609,613,638"
E,E-01,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",4,114,"114,546,579,634"
E,E-06,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,122,"122,639"
E,E-07,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,131,"131,640"
E,E-15,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",4,139,"139,220,610,648"
E,E-08,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,140,"140,641"
E,E-16,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",3,148,"148,229,649"
E,E-09,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,149,"149,642"
E,E-23,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",8,157,"157,177,275,354,610,611"
E,E-10,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,158,"158,643"
E,E-11,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,167,"167,644"
E,E-12,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",5,175,"175,539,599,645,690"
E,E-14,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,211,"211,647"
E,E-17,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,238,"238,650"
E,E-18,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",3,247,"247,540,651"
E,E-19,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",4,284,"284,541,652,679"
E,E-20,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,293,"293,653"
E,E-21,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,302,"302,654"
E,E-22,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,311,"311,655"
E,E-24,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",3,320,"320,624,657"
E,E-25,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,329,"329,658"
E,E-26,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,338,"338,659"
E,E-27,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,347,"347,660"
E,E-28,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,355,"355,661"
E,E-29,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",3,364,"364,541,662"
E,E-31,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,402,"402,664"
E,E-32,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,411,"411,665"
E,E-33,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,420,"420,666"
E,E-34,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,429,"429,667"
E,E-35,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",5,438,"438,603,626,668,690"
E,E-36,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",3,446,"446,542,669"
E,E-38,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,483,"483,671"
E,E-39,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",2,492,"492,672"
E,E-40,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",6,501,"501,593,600,626,673,690"
E,E-41,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",5,509,"509,601,626,674,690"
E,E-42,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",7,517,"517,543,593,602,626,675"
E,E-04,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",3,546,"546,579,637"
E,E-02,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",1,635,"635"
E,E-03,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",1,636,"636"
computeKebab,compute-learning-rate,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第一章-五断裂点穷举-v1-0-20260714.md",1,679,"679"
E,E-05,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",4,65,"65,73,84,480"
E,E-06,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,67,"67,86"
E,E-13,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",4,73,"73,87,479,608"
E,E-37,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,73,"73,85"
E,E-38,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,88,"88,129"
E,E-07,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",4,128,"128,131,252,264"
E,E-15,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",5,130,"130,393,481,509,521"
E,E-19,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",6,132,"132,219,520,607,629,648"
E,E-21,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",3,133,"133,651,693"
E,E-30,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,173,"173,265"
E,E-31,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",1,174,"174"
E,E-33,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,175,"175,565"
E,E-29,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",5,176,"176,307,522,544,562"
E,E-35,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,177,"177,436"
E,E-40,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",3,178,"178,263,750"
E,E-04,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",4,218,"218,606,647,748"
E,E-20,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,220,"220,650"
E,E-09,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",6,221,"221,416,417,418,435,649"
E,E-23,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",5,222,"222,309,501,519,563"
E,E-24,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",3,223,"223,310,605"
E,E-25,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,262,"262,564"
E,E-42,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",1,266,"266"
E,E-08,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",1,306,"306"
E,E-16,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,308,"308,353"
E,E-11,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",3,331,"331,333,350"
E,E-28,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",4,333,"333,352,510,523"
E,E-14,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",3,351,"351,395,747"
E,E-17,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",3,354,"354,396,692"
E,E-12,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",3,374,"374,392,691"
E,E-10,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",3,394,"394,460,478"
E,E-01,AD01,"docs/synova/research/权威文档01-本体层因果体系权威规范-20260714/SYNOVA-RESEARCH-第三章-15节点池与10表达层实体-v1-0-20260714.md",2,437,"437,744"
